id,category,type,prompt,difficulty,keywords,length
1,에세이,논증/설득,다음 주제에 대해 찬성 또는 반대 입장을 선택하고 600~1000자 분량의 논리적인 글을 작성하시오: '예체능 필수 수업화',쉬움,"['교육', '논증', '설득']",800
2,에세이,논증/설득,다음 주제에 대해 찬성 또는 반대 입장을 선택하고 600~1000자 분량의 논리적인 글을 작성하시오: '기후 변화 대응 예산 확대',쉬움,"['환경', '논증', '설득']",700
3,에세이,논증/설득,다음 주제에 대해 찬성 또는 반대 입장을 선택하고 600~1000자 분량의 논리적인 글을 작성하시오: '기본소득 제도의 도입',중간,"['사회', '논증', '설득']",700
4,에세이,논증/설득,다음 주제에 대해 찬성 또는 반대 입장을 선택하고 600~1000자 분량의 논리적인 글을 작성하시오: '초중고 코딩 교육 의무화',중간,"['교육', '논증', '설득']",800
5,에세이,논증/설득,다음 주제에 대해 찬성 또는 반대 입장을 선택하고 600~1000자 분량의 논리적인 글을 작성하시오: '독서 의무 시간 도입',어려움,"['문화', '논증', '설득']",900
6,에세이,논증/설득,다음 주제에 대해 찬성 또는 반대 입장을 선택하고 600~1000자 분량의 논리적인 글을 작성하시오: '플랫폼 노동자 보호법',어려움,"['경제', '논증', '설득']",1000
7,에세이,논증/설득,다음 주제에 대해 찬성 또는 반대 입장을 선택하고 600~1000자 분량의 논리적인 글을 작성하시오: '독서 의무 시간 도입',쉬움,"['문화', '논증', '설득']",600
8,에세이,논증/설득,다음 주제에 대해 찬성 또는 반대 입장을 선택하고 600~1000자 분량의 논리적인 글을 작성하시오: '복지 지출 확대',쉬움,"['사회', '논증', '설득']",700
9,에세이,논증/설득,다음 주제에 대해 찬성 또는 반대 입장을 선택하고 600~1000자 분량의 논리적인 글을 작성하시오: '문화재 복원 현대화',쉬움,"['문화', '논증', '설득']",800
10,에세이,논증/설득,다음 주제에 대해 찬성 또는 반대 입장을 선택하고 600~1000자 분량의 논리적인 글을 작성하시오: '스트리트 아트 합법화',어려움,"['문화', '논증', '설득']",800
11,에세이,논증/설득,다음 주제에 대해 찬성 또는 반대 입장을 선택하고 600~1000자 분량의 논리적인 글을 작성하시오: '자율 주행차 상용화',중간,"['기술', '논증', '설득']",800
12,에세이,논증/설득,다음 주제에 대해 찬성 또는 반대 입장을 선택하고 600~1000자 분량의 논리적인 글을 작성하시오: '기후 변화 대응 예산 확대',쉬움,"['환경', '논증', '설득']",1000
13,에세이,논증/설득,다음 주제에 대해 찬성 또는 반대 입장을 선택하고 600~1000자 분량의 논리적인 글을 작성하시오: '메타버스 교육 도입',어려움,"['기술', '논증', '설득']",800
14,에세이,논증/설득,다음 주제에 대해 찬성 또는 반대 입장을 선택하고 600~1000자 분량의 논리적인 글을 작성하시오: '암호화폐 규제',쉬움,"['경제', '논증', '설득']",700
15,에세이,논증/설득,다음 주제에 대해 찬성 또는 반대 입장을 선택하고 600~1000자 분량의 논리적인 글을 작성하시오: 'SNS 사용 연령 제한',중간,"['기술', '논증', '설득']",1000
16,에세이,논증/설득,다음 주제에 대해 찬성 또는 반대 입장을 선택하고 600~1000자 분량의 논리적인 글을 작성하시오: 'SNS 실명제 도입',쉬움,"['사회', '논증', '설득']",900
17,에세이,논증/설득,다음 주제에 대해 찬성 또는 반대 입장을 선택하고 600~1000자 분량의 논리적인 글을 작성하시오: '기본소득 제도의 도입',중간,"['사회', '논증', '설득']",900
