Unnamed: 0,category,type,prompt,difficulty,keywords,length
1,시나리오,상황극/역할극,장소 '버려진 놀이공원'에서 용병 둘이(가) 잔혹한 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['시계초침', '노란 조명', '철문']",86
2,시나리오,상황극/역할극,장소 '캠프파이어 주변'에서 괴물과 모험가이(가) 로맨틱 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['칼날', '철문', '시든 꽃']",102
3,시나리오,상황극/역할극,장소 '얼어붙은 폭포 근처'에서 갇힌 두 사람이(가) 차가운 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['사슬', '버려진 상자', '유리병']",69
4,시나리오,상황극/역할극,장소 '동굴 안 불빛'에서 여행 중인 두 사람이(가) 현실적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['벽시계', '노을', '등불']",103
5,시나리오,상황극/역할극,장소 '하늘 위 구름다리'에서 괴물과 모험가이(가) 잔혹한 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['유리병', '눈발', '피리']",100
6,시나리오,상황극/역할극,장소 '지하 던전'에서 난민과 기자이(가) 로맨틱 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['사라진 목소리', '초콜릿', '눈발']",103
7,시나리오,상황극/역할극,장소 '폭설 내리는 산길'에서 낯선 관광객 두 명이(가) 몽환적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['바다향기', '돌바위', '책상']",99
8,시나리오,상황극/역할극,장소 '유리 궁전 안'에서 교회 신도들이(가) 몽환적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['잔디', '손수건', '책상']",124
9,시나리오,상황극/역할극,장소 '거센 폭우 속 거리'에서 로봇과 조종사이(가) 코믹 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['우편함', '피리', '붉은 실']",103
10,시나리오,상황극/역할극,장소 '사막 오아시스'에서 군사 요원 둘이(가) 로맨틱 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['잔디', '모래시계', '새벽빛']",125
11,시나리오,상황극/역할극,장소 '붉은 숲길'에서 기억을 잃은 두 사람이(가) 현실적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['버려진 가방', '포장마차', '바람소리']",150
12,시나리오,상황극/역할극,장소 '달빛 아래 강가'에서 적국 출신 두 사람이(가) 따뜻한 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['유리창', '사라진 목소리', '바다향기']",149
13,시나리오,상황극/역할극,장소 '저녁 노을 언덕'에서 오래된 친구 두 명이(가) 환상적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['동전', '형광등', '빗방울']",66
14,시나리오,상황극/역할극,장소 '붉은 숲길'에서 감옥 동료이(가) 역동적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['우산살', '시계초침', '초콜릿']",141
15,시나리오,상황극/역할극,장소 '달리는 기차 안'에서 로봇과 조종사이(가) 서정적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['방울소리', '벽시계', '붉은 꽃']",51
16,시나리오,상황극/역할극,장소 '고대 신전'에서 감옥 동료이(가) 긴장감 있는 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,쉬움,"['바다향기', '사슬', '우산살']",83
17,시나리오,상황극/역할극,장소 '얼어붙은 폭포 근처'에서 성직자와 추적자이(가) 환상적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,어려움,"['고양이', '종이조각', '가로등']",131
18,시나리오,상황극/역할극,장소 '동틀 무렵의 호수'에서 분노한 고객과 점원이(가) 서정적 톤으로 대화를 나누는 6줄 내외의 상황극을 작성하세요.,중간,"['잔디', '바람소리', '노을']",128
