id,category,type,prompt,difficulty,keywords,length
1,시나리오,장면 전환,장면 '포근한 찻집'에서 '불 꺼진 카지노'로 전환되는 시나리오를 서정적 톤으로 5줄 이내로 작성하세요. 전환 방식: 카메라 패닝,쉬움,"['조용한 음악', '깃발', '가로등']",88
2,시나리오,장면 전환,장면 '불꽃놀이 축제장'에서 '구름다리 위'로 전환되는 시나리오를 코믹 톤으로 5줄 이내로 작성하세요. 전환 방식: 서서히 페이드아웃,쉬움,"['흰 공책', '유리병', '손전등']",112
3,시나리오,장면 전환,장면 '포장마차 옆 거리'에서 '달리는 전철 안'로 전환되는 시나리오를 환상적 톤으로 5줄 이내로 작성하세요. 전환 방식: 슬로 모션,어려움,"['불빛', '유리병', '서재 시계']",51
4,시나리오,장면 전환,장면 '불타는 초원'에서 '지하철 승강장'로 전환되는 시나리오를 서스펜스 톤으로 5줄 이내로 작성하세요. 전환 방식: 컷 전환,쉬움,"['비석', '자동차 불빛', '만년필']",63
5,시나리오,장면 전환,장면 '거대한 도서관 홀'에서 '검은 호수 근처'로 전환되는 시나리오를 판타지 톤으로 5줄 이내로 작성하세요. 전환 방식: 교차 편집,중간,"['초콜릿', '낡은 책장', '책 위 안경']",121
6,시나리오,장면 전환,장면 '지하 실험실'에서 '검은 호수 근처'로 전환되는 시나리오를 판타지 톤으로 5줄 이내로 작성하세요. 전환 방식: 컷 전환,쉬움,"['무너진 벽', '포장마차 불빛', '라디오 잡음']",73
7,시나리오,장면 전환,장면 '거센 폭우 속 거리'에서 '달리는 버스 안'로 전환되는 시나리오를 긴박한 톤으로 5줄 이내로 작성하세요. 전환 방식: 카메라 패닝,중간,"['낡은 원고', '붉은 실', '눈 내리는 길']",86
8,시나리오,장면 전환,장면 '황혼의 항구'에서 '사막의 고대 탑'로 전환되는 시나리오를 따뜻한 톤으로 5줄 이내로 작성하세요. 전환 방식: 시간 경과,어려움,"['검은 천', '철로', '종소리']",97
9,시나리오,장면 전환,장면 '밤하늘 전망대'에서 '미래 도시의 하늘정원'로 전환되는 시나리오를 코믹 톤으로 5줄 이내로 작성하세요. 전환 방식: 슬로 모션,어려움,"['무너진 벽', '바위', '붉은 노을']",76
10,시나리오,장면 전환,장면 '거대한 유성 밭'에서 '강변 자전거 도로'로 전환되는 시나리오를 환상적 톤으로 5줄 이내로 작성하세요. 전환 방식: 카메라 패닝,중간,"['잔디', '희미한 불빛', '서재 문고리']",145
