id,category,type,prompt,difficulty,keywords,length,created_at
,시,즉흥시,"즉흥시 연습 (비밀스러운 공간, 단조로운 운율 시): 주어진 단어를 활용해 속삭이는 듯한 3행 시를 작성하세요. 단어: '서리 낀 숲, 불 꺼진 가로등, 흐린 유리창'",어려움,"[서리 낀 숲, 불 꺼진 가로등, 흐린 유리창]",78,2025-07-17 08:00:00
,시,즉흥시,"즉흥시 연습 (잔잔한 일상, 회상형 시): 낯선 시점으로 4행 시를 작성하세요. 단어: '푸른 잎새, 서리 낀 계곡, 푸른 유리'",어려움,"[푸른 잎새, 서리 낀 계곡, 푸른 유리]",59,2025-07-17 07:59:00
,시,즉흥시,"즉흥시 연습 (비밀스러운 공간, 역설적 대조 시): 파편적인 이미지로 3~5행의 즉흥시를 만드세요. 단어: '비바람, 별빛의 흔적, 차갑게 언 나무'",쉬움,"[비바람, 별빛의 흔적, 차갑게 언 나무]",83,2025-07-17 07:58:00
,시,즉흥시,"즉흥시 연습 (잔잔한 일상, 의성어 중심 시): 주어진 단어를 활용해 속삭이는 듯한 3행 시를 작성하세요. 단어: '서늘한 새벽, 고요한 호수, 밤의 그림자'",중간,"[서늘한 새벽, 고요한 호수, 밤의 그림자]",76,2025-07-17 07:57:00
,시,즉흥시,"즉흥시 연습 (잔잔한 일상, 감각적 나열 시): 낯선 시점으로 4행 시를 작성하세요. 단어: '황금빛 초승, 검은 달빛, 파란 하늘빛'",중간,"[황금빛 초승, 검은 달빛, 파란 하늘빛]",105,2025-07-17 07:56:00
,시,즉흥시,"즉흥시 연습 (밤의 정적, 낯선 시점 시): 역설적인 대조를 살린 3행 시를 작성하세요. 단어: '황금빛 잎새, 푸른 연못, 차가운 바람'",쉬움,"[황금빛 잎새, 푸른 연못, 차가운 바람]",57,2025-07-17 07:55:00
,시,즉흥시,"즉흥시 연습 (밤의 정적, 몽환적 이미지 시): 역설적인 대조를 살린 3행 시를 작성하세요. 단어: '붉은 구름, 고요한 바람, 은빛 구슬'",어려움,"[붉은 구름, 고요한 바람, 은빛 구슬]",110,2025-07-17 07:54:00
,시,즉흥시,"즉흥시 연습 (계절의 문턱, 긴장감 있는 시): 단조로운 운율을 살려 2행 즉흥시를 작성하세요. 단어: '철문 소리, 검은 바람결, 차가운 별빛'",어려움,"[철문 소리, 검은 바람결, 차가운 별빛]",120,2025-07-17 07:53:00
,시,즉흥시,"즉흥시 연습 (잃어버린 시간, 감각적 나열 시): 긴장감이 감도는 4행 즉흥시를 완성하세요. 단어: '붉은 바람, 붉은 초승달, 차가운 잎새'",중간,"[붉은 바람, 붉은 초승달, 차가운 잎새]",69,2025-07-17 07:52:00
,시,즉흥시,"즉흥시 연습 (추억의 조각, 회상형 시): 단조로운 운율을 살려 2행 즉흥시를 작성하세요. 단어: '밤의 파편, 노을빛 하늘, 은빛 안개'",중간,"[밤의 파편, 노을빛 하늘, 은빛 안개]",56,2025-07-17 07:51:00
