id,category,type,prompt,difficulty,keywords,length,created_at
,시,이미지화,시의 감정을 시각화하세요: '거인 속에서 느껴지는 독특한 분위기를 그림으로 표현하세요.',어려움,"[모래시계, 사막, 은빛]",113,2025-07-22 13:57:09
,시,이미지화,시의 감정을 시각화하세요: '미로 속에서 느껴지는 독특한 분위기를 그림으로 표현하세요.',어려움,"[화산, 유리, 늑대]",92,2025-07-22 13:56:09
,시,이미지화,시의 감정을 시각화하세요: '심연 속에서 느껴지는 독특한 분위기를 그림으로 표현하세요.',중간,"[사막, 모닥불, 고목]",61,2025-07-22 13:55:09
,시,이미지화,시의 감정을 시각화하세요: '강물 속에서 느껴지는 독특한 분위기를 그림으로 표현하세요.',중간,"[달무리, 고래, 번개]",155,2025-07-22 13:54:09
,시,이미지화,시의 감정을 시각화하세요: '은하 속에서 느껴지는 독특한 분위기를 그림으로 표현하세요.',쉬움,"[폭풍, 안개, 고목]",209,2025-07-22 13:53:09
,시,이미지화,시의 감정을 시각화하세요: '연기 속에서 느껴지는 독특한 분위기를 그림으로 표현하세요.',쉬움,"[미로, 얼음, 회오리]",122,2025-07-22 13:52:09
,시,이미지화,시의 감정을 시각화하세요: '연기 속에서 느껴지는 독특한 분위기를 그림으로 표현하세요.',어려움,"[고래, 화산, 모닥불]",207,2025-07-22 13:51:09
,시,이미지화,시의 감정을 시각화하세요: '모닥불 속에서 느껴지는 독특한 분위기를 그림으로 표현하세요.',중간,"[안개, 늑대, 폭풍]",157,2025-07-22 13:50:09
,시,이미지화,시의 감정을 시각화하세요: '황혼 속에서 느껴지는 독특한 분위기를 그림으로 표현하세요.',중간,"[얼음, 회오리, 화산]",96,2025-07-22 13:49:09
,시,이미지화,시의 감정을 시각화하세요: '거인 속에서 느껴지는 독특한 분위기를 그림으로 표현하세요.',어려움,"[고목, 은빛, 고요]",176,2025-07-22 13:48:09
,시,이미지화,시의 감정을 시각화하세요: '안개 속에서 느껴지는 독특한 분위기를 그림으로 표현하세요.',쉬움,"[자취, 촛불, 얼음]",220,2025-07-22 13:47:09
