id,category,type,prompt,difficulty,keywords,length
1,시나리오,시나리오 구조화,고대 신전에서 소환된 괴물과의 전투'를 배경으로 주요 사건을 5장면으로 나눠서 시나리오 구조를 만드세요.,중간,"['스마트워치', '페인트 붓', '마법서']",121
2,시나리오,시나리오 구조화,주제 '중세 도시의 광장에서 벌어진 반란'를 서스펜스 톤으로 3개의 장면으로 나눠 작성하세요.,어려움,"['바이올린', '지하철', '촛불']",122
3,시나리오,시나리오 구조화,거대 로봇의 폭주를 막기 위한 과학자와 조종사'를 배경으로 주인공의 감정 곡선을 4장면으로 표현하세요.,쉬움,"['왕실 인장', '페인트 붓', '지도첩']",161
4,시나리오,시나리오 구조화,사라진 왕관을 찾는 모험가와 학자의 모험'를 배경으로 주인공의 감정 곡선을 4장면으로 표현하세요.,어려움,"['리포터 카메라', '필름 카메라', '스탠드 불빛']",114
5,시나리오,시나리오 구조화,주제 '사라진 왕관을 찾는 모험가와 학자의 모험'를 드라마틱하게 5장면으로 나눠 사건과 인물 관계를 묘사하세요.,중간,"['포장마차 꼬치', '해골', '열쇠']",128
6,시나리오,시나리오 구조화,주제 '왕실 보물을 훔치려는 괴도와 경비대의 대립'를 드라마틱하게 5장면으로 나눠 사건과 인물 관계를 묘사하세요.,어려움,"['지하도', '고리버들 바구니', '카메라']",95
7,시나리오,시나리오 구조화,주제 '시골 마을에 나타난 정체불명의 그림자'를 3막 구조(도입-전개-결말)로 나눠서 장면을 구성하세요.,쉬움,"['네온사인', '자동문', '마법서']",166
8,시나리오,시나리오 구조화,"주제 '폐허 도시를 떠도는 두 생존자의 동행'를 도입, 갈등, 반전, 결말로 나눠서 4막으로 구성하세요.",쉬움,"['책갈피', '동전', '비밀 지도']",150
9,시나리오,시나리오 구조화,주제 '황혼의 왕궁 회랑에서 속삭이는 연인들'를 서스펜스 톤으로 3개의 장면으로 나눠 작성하세요.,중간,"['모래시계', '포스터', '보물 상자']",107
10,시나리오,시나리오 구조화,"주제 '새벽 지하철이 멈춰 선 후 승객들 사이의 숨겨진 비밀'를 도입, 갈등, 반전, 결말로 나눠서 4막으로 구성하세요.",중간,"['트로피', '연구 노트', '신문 기사']",146
11,시나리오,시나리오 구조화,고대 유적지에서 배신을 겪는 탐험가 일행'를 배경으로 주인공의 감정 곡선을 4장면으로 표현하세요.,어려움,"['페인트 붓', '바이올린', '해골']",136
12,시나리오,시나리오 구조화,주제 '새벽 지하철이 멈춰 선 후 승객들 사이의 숨겨진 비밀'를 드라마틱하게 5장면으로 나눠 사건과 인물 관계를 묘사하세요.,중간,"['은화', '페인트 붓', '마법 구슬']",107
13,시나리오,시나리오 구조화,고대 신전에서 소환된 괴물과의 전투'를 배경으로 주요 사건을 5장면으로 나눠서 시나리오 구조를 만드세요.,중간,"['빗방울', '성배', '마법 지팡이']",103
14,시나리오,시나리오 구조화,왕궁 연회장에서 벌어진 암살 음모와 반전' 상황을 중심으로 인물의 감정 변화를 중심으로 3장면으로 나눠 구성하세요.,쉬움,"['동전', '리포터 카메라', '포장마차 꼬치']",165
15,시나리오,시나리오 구조화,"주제 '폐허가 된 도시에서 살아남으려는 생존자들의 여정'를 판타지풍으로, 3장면의 모험 시퀀스로 나눠 작성하세요.",중간,"['고대 문서', '연금술 도구', '가방']",140
16,시나리오,시나리오 구조화,주제 '기억을 잃은 주인공이 과거를 되찾는 여정'를 갈등-대치-해결의 흐름으로 나눠서 4장면으로 작성하세요.,쉬움,"['열쇠', '비밀 지도', '자동문']",128
17,시나리오,시나리오 구조화,주제 '우주선을 고치기 위해 협력하는 과학자와 기술자'를 3막 구조(도입-전개-결말)로 나눠서 장면을 구성하세요.,중간,"['사다리', '고서', '검']",94
18,시나리오,시나리오 구조화,"주제 '폐허가 된 도시에서 살아남으려는 생존자들의 여정'를 도입, 갈등, 반전, 결말로 나눠서 4막으로 구성하세요.",중간,"['필기구', '지도', '소품 상자']",118
19,시나리오,시나리오 구조화,주제 '기억을 잃은 주인공이 과거를 되찾는 여정'를 코믹 톤으로 3개의 장면으로 재구성하세요.,중간,"['스마트워치', '왕관', '은화']",164
20,시나리오,시나리오 구조화,주제 '왕궁 연회장에서 벌어진 암살 음모와 반전'를 코믹 톤으로 3개의 장면으로 재구성하세요.,쉬움,"['안경', '자동문', '유리병']",148
21,시나리오,시나리오 구조화,도심 지하도에서 벌어진 추격전과 탈출'를 배경으로 주요 사건을 5장면으로 나눠서 시나리오 구조를 만드세요.,어려움,"['은화', '스마트워치', '라디오 잡음']",148
22,시나리오,시나리오 구조화,주제 '마법사의 탑에서 금지된 주문을 발견한 제자'를 3막 구조(도입-전개-결말)로 나눠서 장면을 구성하세요.,중간,"['고대 동전', '신문 기사', '지도첩']",140
23,시나리오,시나리오 구조화,"주제 '도시 야경이 내려다보이는 옥상에서의 결투'를 판타지풍으로, 3장면의 모험 시퀀스로 나눠 작성하세요.",중간,"['서류 봉투', '손전등', '촛불']",96
24,시나리오,시나리오 구조화,왕궁 연회장에서 벌어진 암살 음모와 반전'를 배경으로 주인공의 감정 곡선을 4장면으로 표현하세요.,어려움,"['유리병', '카메라', '라디오']",131
25,시나리오,시나리오 구조화,주제 '도시 야경이 내려다보이는 옥상에서의 결투'를 갈등-대치-해결의 흐름으로 나눠서 4장면으로 작성하세요.,쉬움,"['카메라', '열쇠', '빗방울']",155
26,시나리오,시나리오 구조화,주제 '마법의 숲에서 길을 잃은 모험가들의 여정'를 서스펜스 톤으로 3개의 장면으로 나눠 작성하세요.,쉬움,"['마법 지팡이', '손전등', '왕좌']",128
27,시나리오,시나리오 구조화,주제 '거대한 폭풍 속 등대에서 벌어진 두 인물의 대치'를 코믹 톤으로 3개의 장면으로 재구성하세요.,쉬움,"['소품 상자', '지도 펜', '보물 상자']",127
28,시나리오,시나리오 구조화,"주제 '고대 신전에서 소환된 괴물과의 전투'를 도입, 갈등, 반전, 결말로 나눠서 4막으로 구성하세요.",중간,"['백화점 쇼핑백', '책상 서랍', '동전지갑']",173
29,시나리오,시나리오 구조화,주제 '고대 유적지에서 배신을 겪는 탐험가 일행'를 코믹 톤으로 3개의 장면으로 재구성하세요.,어려움,"['스탠드 불빛', '자동판매기 버튼', '회전문']",180
30,시나리오,시나리오 구조화,주제 '왕궁 연회장에서 벌어진 암살 음모와 반전'를 코믹 톤으로 3개의 장면으로 재구성하세요.,쉬움,"['성문', '카메라 렌즈', '비밀 지도']",113
31,시나리오,시나리오 구조화,주제 '도심 지하도에서 벌어진 추격전과 탈출'를 드라마틱하게 5장면으로 나눠 사건과 인물 관계를 묘사하세요.,중간,"['안경', '사다리', '리본']",172
32,시나리오,시나리오 구조화,주제 '도시 야경이 내려다보이는 옥상에서의 결투'를 3막 구조(도입-전개-결말)로 나눠서 장면을 구성하세요.,쉬움,"['지도', '리본', '갑옷']",105
33,시나리오,시나리오 구조화,"주제 '고등학교 졸업 전날 터진 학급의 숨겨진 비밀'를 판타지풍으로, 3장면의 모험 시퀀스로 나눠 작성하세요.",중간,"['마법서', '지도', '유리병']",179
34,시나리오,시나리오 구조화,주제 '바닷속 유적을 탐험하는 잠수부들의 이야기'를 드라마틱하게 5장면으로 나눠 사건과 인물 관계를 묘사하세요.,중간,"['필름 카메라', '라디오 잡음', '지도 펜']",119
35,시나리오,시나리오 구조화,"주제 '도심 지하도에서 벌어진 추격전과 탈출'를 도입, 갈등, 반전, 결말로 나눠서 4막으로 구성하세요.",어려움,"['자동차 리모컨', '자동판매기 버튼', '도서관 서류']",121
36,시나리오,시나리오 구조화,"주제 '사막 한가운데서 잃어버린 보물을 찾는 모험'를 도입, 갈등, 반전, 결말로 나눠서 4막으로 구성하세요.",어려움,"['마법 진', '휴대폰', '동전지갑']",160
37,시나리오,시나리오 구조화,우주 정거장에서 시스템 고장으로 생존을 모색하는 승무원들'를 배경으로 주인공의 감정 곡선을 4장면으로 표현하세요.,쉬움,"['왕실 인장', '버스 안내방송', '신문 기사']",139
38,시나리오,시나리오 구조화,이세계에서 만난 영웅과 악당의 결투'를 배경으로 주인공의 감정 곡선을 4장면으로 표현하세요.,어려움,"['필기구', '회전문', '성문']",84
39,시나리오,시나리오 구조화,왕국의 왕좌를 두고 형제 간의 갈등과 배신' 상황을 중심으로 인물의 감정 변화를 중심으로 3장면으로 나눠 구성하세요.,중간,"['가죽 가방', '왕실 인장', '백화점 쇼핑백']",175
40,시나리오,시나리오 구조화,주제 '마법사의 탑에서 금지된 주문을 발견한 제자'를 서스펜스 톤으로 3개의 장면으로 나눠 작성하세요.,어려움,"['소품 상자', '지도 펜', '마법 진']",172
41,시나리오,시나리오 구조화,"주제 '우주선을 고치기 위해 협력하는 과학자와 기술자'를 판타지풍으로, 3장면의 모험 시퀀스로 나눠 작성하세요.",쉬움,"['포스트잇', '자동문', '왕궁 서류']",168
42,시나리오,시나리오 구조화,"주제 '졸업 전날 교실에서 드러난 숨겨진 비밀과 진실'를 판타지풍으로, 3장면의 모험 시퀀스로 나눠 작성하세요.",중간,"['가방', '마법 진', '가죽 가방']",99
