id,category,type,prompt,difficulty,keywords,length,created_at
1,시,시 구조 변형 연습,'흐린 별빛'이라는 구절을 바탕으로 4가지 시 형태로 확장하세요.,어려움,"['침묵', '숲', '기억']",92,2025-07-23 15:41:07
2,시,시 구조 변형 연습,'깊은 동굴'을 변주하여 서로 다른 네 종류의 시로 작성하세요.,어려움,"['시간', '하얀 파도', '한숨']",101,2025-07-23 15:42:07
3,시,시 구조 변형 연습,'깊은 동굴'을 시작점으로 네 가지 시 형식으로 표현하세요.,쉬움,"['노을', '하늘', '폭풍']",132,2025-07-23 15:43:07
4,시,시 구조 변형 연습,"'깊은 숲속'을 이용해 자유시, 3행시, 하이쿠, 산문시로 재구성하세요.",어려움,"['허공', '차가운 바람', '창살']",103,2025-07-23 15:44:07
5,시,시 구조 변형 연습,'고요한 사막'이라는 구절을 바탕으로 4가지 시 형태로 확장하세요.,중간,"['벼락', '갈라진 벽', '포효']",98,2025-07-23 15:45:07
6,시,시 구조 변형 연습,'깊은 숲속'을 각기 다른 시 형식으로 다시 써보세요.,어려움,"['얼어붙은 새벽', '구름', '파도']",98,2025-07-23 15:46:07
7,시,시 구조 변형 연습,'비 내린 골목'을 각기 다른 시 형식으로 다시 써보세요.,어려움,"['바람결', '창살', '고목']",140,2025-07-23 15:47:07
8,시,시 구조 변형 연습,'파도치는 해안'을 변주하여 서로 다른 네 종류의 시로 작성하세요.,중간,"['비행기', '꽃잎', '종이']",90,2025-07-23 15:48:07
9,시,시 구조 변형 연습,'깊은 숲속' 문장을 바탕으로 4가지 스타일의 시를 완성하세요.,어려움,"['유령', '하얀 꽃', '돌']",70,2025-07-23 15:49:07
10,시,시 구조 변형 연습,"'흐린 별빛'을 이용해 자유시, 3행시, 하이쿠, 산문시로 재구성하세요.",중간,"['초승달', '돌', '벽']",94,2025-07-23 15:50:07
11,시,시 구조 변형 연습,"문장 '고요한 사막'을 자유시, 3행시, 하이쿠, 산문시로 변형해보세요.",쉬움,"['시간', '유리창', '초승달']",112,2025-07-23 15:51:07
12,시,시 구조 변형 연습,'고요한 사막'이라는 구절을 바탕으로 4가지 시 형태로 확장하세요.,어려움,"['얼음', '심장', '거미줄']",130,2025-07-23 15:52:07
13,시,시 구조 변형 연습,'초승달 밤'을 각기 다른 시 형식으로 다시 써보세요.,쉬움,"['사라진 목소리', '무너진 성', '흐린 유리']",58,2025-07-23 15:53:07
14,시,시 구조 변형 연습,'비 내린 골목'을 각기 다른 시 형식으로 다시 써보세요.,어려움,"['어둠', '불빛', '별']",71,2025-07-23 15:54:07
