id,category,type,prompt,difficulty,keywords,length,Unnamed: 0
1,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '가족 구성원의 조언이 본인의 삶을 바꾼 경험을 작성하시오.',쉬움,"['가족', '경험담']",800,
2,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '계획하지 않은 여행에서 느낀 특별한 순간을 적으시오.',중간,"['여행', '경험담']",800,
3,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '두려움을 극복했던 경험을 구체적으로 적으시오.',어려움,"['도전/자기계발', '경험담']",700,
4,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '학교 도서관에서의 특별한 경험을 묘사하시오.',쉬움,"['학교생활', '경험담']",500,
5,에세이,경험담 에세이,"자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '새로운 과목을 처음 배웠을 때의 느낌과 어려움, 극복 과정을 적으시오.'",어려움,"['학교생활', '경험담']",800,
6,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '자신의 한계를 넘어섰던 순간을 에세이로 작성하시오.',중간,"['도전/자기계발', '경험담']",800,
7,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '우연히 알게 된 장소에서의 뜻깊은 추억을 묘사하시오.',어려움,"['여행', '경험담']",800,
8,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '배신이나 실망을 경험했을 때의 감정과 극복 과정을 작성하시오.',쉬움,"['인간관계', '경험담']",600,
9,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '실패를 통해 배운 교훈을 상세히 묘사하시오.',중간,"['도전/자기계발', '경험담']",600,
10,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '예상치 못한 선물을 받았던 경험을 묘사하시오.',어려움,"['특별한 순간', '경험담']",800,
11,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '우연히 알게 된 장소에서의 뜻깊은 추억을 묘사하시오.',중간,"['여행', '경험담']",700,
12,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '목표를 위해 포기하지 않고 노력했던 경험을 적으시오.',어려움,"['도전/자기계발', '경험담']",500,
13,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '해외 여행 중 문화 충격을 받은 경험을 작성하시오.',어려움,"['여행', '경험담']",800,
14,에세이,경험담 에세이,자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '누군가에게 도움을 주고 보람을 느꼈던 순간을 적으시오.',쉬움,"['인간관계', '경험담']",700,
15,에세이,경험담 에세이,"자신의 경험을 바탕으로 다음 주제에 대해 500~800자 분량의 에세이를 작성하시오: '새로운 과목을 처음 배웠을 때의 느낌과 어려움, 극복 과정을 적으시오.'",중간,"['학교생활', '경험담']",500,
