id,category,type,prompt,difficulty,keywords,length,created_at
,시,이미지화,이 시를 이미지로 표현하세요: '꿈을(를) 주제로 한 감성적인 장면을 묘사하세요.',쉬움,"[사랑, 바다, 달빛]",139,2025-07-22 18:57:09
,시,이미지화,이 시를 이미지로 표현하세요: '도시을(를) 주제로 한 감성적인 장면을 묘사하세요.',중간,"[바람, 노을, 바다]",63,2025-07-22 18:56:09
,시,이미지화,이 시를 이미지로 표현하세요: '새벽을(를) 주제로 한 감성적인 장면을 묘사하세요.',쉬움,"[물결, 달빛, 별]",140,2025-07-22 18:55:09
,시,이미지화,이 시를 이미지로 표현하세요: '눈을(를) 주제로 한 감성적인 장면을 묘사하세요.',어려움,"[바람, 비, 꽃]",117,2025-07-22 18:54:09
,시,이미지화,이 시를 이미지로 표현하세요: '계절을(를) 주제로 한 감성적인 장면을 묘사하세요.',중간,"[시간, 하늘, 불빛]",159,2025-07-22 18:53:09
,시,이미지화,이 시를 이미지로 표현하세요: '여행을(를) 주제로 한 감성적인 장면을 묘사하세요.',쉬움,"[불꽃, 우주, 별]",61,2025-07-22 18:52:09
,시,이미지화,이 시를 이미지로 표현하세요: '사랑을(를) 주제로 한 감성적인 장면을 묘사하세요.',어려움,"[불빛, 바다, 별]",141,2025-07-22 18:51:09
,시,이미지화,이 시를 이미지로 표현하세요: '눈을(를) 주제로 한 감성적인 장면을 묘사하세요.',중간,"[물결, 바람, 절망]",184,2025-07-22 18:50:09
,시,이미지화,이 시를 이미지로 표현하세요: '비을(를) 주제로 한 감성적인 장면을 묘사하세요.',어려움,"[도시, 숲, 고독]",155,2025-07-22 18:49:09
,시,이미지화,이 시를 이미지로 표현하세요: '꿈을(를) 주제로 한 감성적인 장면을 묘사하세요.',쉬움,"[물결, 어둠, 계절]",65,2025-07-22 18:48:09
