id,category,type,prompt,difficulty,keywords,length
1,시나리오,장르 변환,주제 '편의점 야간 근무 중 손님과의 짧은 대화'를 느와르과 드라마 두 가지 버전으로 변환해 5줄씩 작성하세요.,쉬움,"['액션', '로맨스', 'SF']",154
2,시나리오,장르 변환,학교 체육대회에서의 작은 오해' 상황을 액션와 판타지 톤으로 각각 4줄 이내 시나리오로 작성하세요.,어려움,"['공포', '스릴러', '드라마']",147
3,시나리오,장르 변환,도시 야경이 보이는 옥상에서의 위로'를 공포과 코믹 장르로 나눠 각각 4줄 시나리오로 구성하세요.,중간,"['감성', '판타지', '로맨스']",151
4,시나리오,장르 변환,지하철 플랫폼에서 이어진 짧은 인사' 상황을 감성과 드라마 두 가지 시나리오로 각 4줄씩 작성하세요.,중간,"['SF', '공포', '느와르']",129
5,시나리오,장르 변환,주제 '비 오는 날 우산을 함께 쓴 두 사람'를 로맨스과 코믹 두 가지 장르로 각각 5줄 이내 시나리오로 변환하세요.,쉬움,"['로맨스', '판타지', '공포']",96
6,시나리오,장르 변환,주제 '학교 운동장에서 만난 새로운 친구'를 느와르과 코믹 두 가지 버전으로 변환해 5줄씩 작성하세요.,어려움,"['느와르', '액션', '공포']",151
7,시나리오,장르 변환,주제 '회사 탕비실에서 커피를 쏟아버린 동료' 상황을 스릴러과 로맨스 톤으로 변환해 5줄 이내로 작성하세요.,중간,"['코믹', '판타지', '감성']",117
8,시나리오,장르 변환,도시 야경이 보이는 옥상에서의 위로'를 판타지과 드라마 장르로 나눠 각각 4줄 시나리오로 구성하세요.,쉬움,"['감성', '코믹', '드라마']",107
9,시나리오,장르 변환,주제 '아파트 복도에서 마주친 이웃과의 대화'를 액션과 공포 두 가지 장르로 각각 5줄 이내 시나리오로 변환하세요.,중간,"['감성', '느와르', '공포']",137
10,시나리오,장르 변환,영화관 로비에서 상영 전 기다리며 나눈 대화'를 스릴러과 SF 장르로 나눠 각각 4줄 시나리오로 구성하세요.,중간,"['로맨스', 'SF', '스릴러']",98
11,시나리오,장르 변환,주제 '편의점 야간 근무 중 손님과의 짧은 대화'를 로맨스과 드라마 스타일로 각각 변환해 5줄 이내로 표현하세요.,어려움,"['느와르', '코믹', '공포']",126
12,시나리오,장르 변환,동네 문구점에서 학창 시절 친구와 재회' 상황을 SF과 스릴러 두 가지 시나리오로 각 4줄씩 작성하세요.,쉬움,"['로맨스', '액션', '드라마']",92
13,시나리오,장르 변환,주제 '휴게소 벤치에서 모르는 사람과의 대화'를 로맨스과 코믹 스타일로 각각 다른 분위기의 4줄 시나리오로 만드세요.,쉬움,"['느와르', '감성', 'SF']",112
14,시나리오,장르 변환,주제 '동네 문구점에서 학창 시절 친구와 재회'를 SF과 스릴러 두 장르로 변환해 각각 짧은 시나리오(5줄 이내)로 표현하세요.,쉬움,"['SF', '드라마', '액션']",83
15,시나리오,장르 변환,주제 '백화점 푸드코트에서 함께한 짧은 식사'를 SF과 판타지 버전으로 나눠서 4줄 시나리오 두 개로 만드세요.,쉬움,"['감성', 'SF', '코믹']",140
16,시나리오,장르 변환,주제 '백화점 푸드코트에서 함께한 짧은 식사' 상황을 SF과 로맨스 톤으로 변환해 5줄 이내로 작성하세요.,중간,"['판타지', '감성', '공포']",122
17,시나리오,장르 변환,주제 '아침 지하철 출근길의 작은 소동'를 판타지과 느와르 두 가지 장르로 각각 5줄 이내 시나리오로 변환하세요.,중간,"['공포', '코믹', '로맨스']",95
18,시나리오,장르 변환,주제 '회사 탕비실에서 커피를 쏟아버린 동료'를 액션과 스릴러 두 장르로 변환해 각각 짧은 시나리오(5줄 이내)로 표현하세요.,어려움,"['로맨스', '판타지', '감성']",160
19,시나리오,장르 변환,주제 '버스 정류장에서 이어진 짧은 인연'를 액션과 SF 두 가지 장르로 각각 5줄 이내 시나리오로 변환하세요.,중간,"['감성', '판타지', '스릴러']",121
20,시나리오,장르 변환,영화관 로비에서 상영 전 기다리며 나눈 대화'를 공포과 액션 장르로 나눠 각각 4줄 시나리오로 구성하세요.,중간,"['코믹', '판타지', '로맨스']",83
21,시나리오,장르 변환,아파트 복도에서 마주친 이웃과의 대화' 상황을 로맨스와 느와르 톤으로 각각 4줄 이내 시나리오로 작성하세요.,중간,"['SF', '액션', '로맨스']",132
22,시나리오,장르 변환,동네 빵집에서 같은 케이크를 고른 순간' 상황을 코믹과 SF 두 가지 시나리오로 각 4줄씩 작성하세요.,중간,"['공포', '판타지', 'SF']",92
23,시나리오,장르 변환,동네 꽃집에서 같은 꽃을 고른 두 사람' 상황을 스릴러와 드라마 톤으로 각각 4줄 이내 시나리오로 작성하세요.,어려움,"['코믹', '감성', '드라마']",151
24,시나리오,장르 변환,주제 '학교 교실 뒤편에서 나눈 비밀스러운 대화'를 액션과 코믹 스타일로 각각 변환해 5줄 이내로 표현하세요.,쉬움,"['액션', '스릴러', '느와르']",119
25,시나리오,장르 변환,주제 '버스카드가 없어 난처한 승객과 기사'를 코믹과 액션 스타일로 각각 다른 분위기의 4줄 시나리오로 만드세요.,쉬움,"['감성', '코믹', '로맨스']",102
26,시나리오,장르 변환,주제 '동네 공원 벤치에서의 우연한 만남'를 액션과 코믹 스타일로 각각 다른 분위기의 4줄 시나리오로 만드세요.,쉬움,"['공포', '느와르', '감성']",147
27,시나리오,장르 변환,주제 '버스카드가 없어 난처한 승객과 기사'를 코믹과 로맨스 두 장르로 변환해 각각 짧은 시나리오(5줄 이내)로 표현하세요.,중간,"['로맨스', '공포', '스릴러']",160
28,시나리오,장르 변환,주제 '아침 지하철 출근길의 작은 소동'를 코믹과 감성 스타일로 각각 변환해 5줄 이내로 표현하세요.,어려움,"['액션', '코믹', '스릴러']",159
29,시나리오,장르 변환,공원 산책로에서 강아지 산책 중 만난 사람들' 상황을 로맨스와 판타지 톤으로 각각 4줄 이내 시나리오로 작성하세요.,중간,"['감성', '액션', '공포']",113
30,시나리오,장르 변환,주제 '학교 복도에서 흘린 필통을 주워주는 장면'를 로맨스과 느와르 두 가지 장르로 각각 5줄 이내 시나리오로 변환하세요.,중간,"['스릴러', '감성', 'SF']",157
31,시나리오,장르 변환,주제 '학교 교실 뒤편에서 나눈 비밀스러운 대화'를 스릴러과 로맨스 두 가지 장르로 각각 5줄 이내 시나리오로 변환하세요.,어려움,"['액션', 'SF', '감성']",104
32,시나리오,장르 변환,도서관에서 동시에 같은 책을 집어든 두 사람'를 스릴러과 로맨스 장르로 나눠 각각 4줄 시나리오로 구성하세요.,중간,"['SF', '코믹', '드라마']",125
33,시나리오,장르 변환,주제 '도서관에서 동시에 같은 책을 집어든 두 사람'를 드라마과 스릴러 두 가지 버전으로 변환해 5줄씩 작성하세요.,어려움,"['코믹', 'SF', '감성']",159
34,시나리오,장르 변환,주제 '편의점 앞 테이블에서 이어진 늦은 밤 대화'를 액션과 스릴러 두 장르로 변환해 각각 짧은 시나리오(5줄 이내)로 표현하세요.,쉬움,"['스릴러', 'SF', '코믹']",113
35,시나리오,장르 변환,주제 '회사 회의실 앞에서 기다리며 나눈 대화'를 코믹과 드라마 버전으로 나눠서 4줄 시나리오 두 개로 만드세요.,어려움,"['로맨스', '스릴러', '판타지']",151
36,시나리오,장르 변환,주제 '동네 공원 벤치에서의 우연한 만남'를 코믹과 액션 두 장르로 변환해 각각 짧은 시나리오(5줄 이내)로 표현하세요.,중간,"['느와르', '액션', '로맨스']",98
37,시나리오,장르 변환,버스 정류장에서 이어진 짧은 인연' 상황을 액션와 느와르 톤으로 각각 4줄 이내 시나리오로 작성하세요.,쉬움,"['SF', '드라마', '감성']",123
38,시나리오,장르 변환,회사 탕비실에서 커피를 쏟아버린 동료' 상황을 SF과 공포 두 가지 시나리오로 각 4줄씩 작성하세요.,쉬움,"['판타지', '스릴러', '감성']",123
39,시나리오,장르 변환,카페에서 커피를 쏟은 장면' 상황을 느와르과 스릴러 두 가지 시나리오로 각 4줄씩 작성하세요.,쉬움,"['SF', '스릴러', '공포']",160
40,시나리오,장르 변환,주제 '영화관 로비에서 상영 전 기다리며 나눈 대화' 상황을 느와르과 드라마 톤으로 변환해 5줄 이내로 작성하세요.,중간,"['코믹', '드라마', '느와르']",126
41,시나리오,장르 변환,주제 '편의점 앞 테이블에서 이어진 늦은 밤 대화'를 코믹과 스릴러 버전으로 나눠서 4줄 시나리오 두 개로 만드세요.,어려움,"['느와르', '스릴러', '드라마']",81
42,시나리오,장르 변환,주제 '공원 산책로에서 강아지 산책 중 만난 사람들'를 드라마과 SF 스타일로 각각 다른 분위기의 4줄 시나리오로 만드세요.,중간,"['공포', '느와르', '코믹']",113
43,시나리오,장르 변환,주제 '도시 야경이 보이는 옥상에서의 위로'를 느와르과 스릴러 두 가지 장르로 각각 5줄 이내 시나리오로 변환하세요.,어려움,"['SF', '액션', '감성']",160
44,시나리오,장르 변환,주제 '동네 꽃집에서 같은 꽃을 고른 두 사람'를 느와르과 공포 두 가지 장르로 각각 5줄 이내 시나리오로 변환하세요.,쉬움,"['스릴러', '판타지', '드라마']",155
45,시나리오,장르 변환,주제 '학교 체육대회에서의 작은 오해'를 드라마과 스릴러 버전으로 나눠서 4줄 시나리오 두 개로 만드세요.,중간,"['느와르', 'SF', '코믹']",111
46,시나리오,장르 변환,주제 '백화점 에스컬레이터 위에서 나눈 눈빛'를 드라마과 액션 두 가지 버전으로 변환해 5줄씩 작성하세요.,중간,"['감성', '공포', '스릴러']",154
47,시나리오,장르 변환,주제 '도서관 계단에서 서로를 격려하는 학생들'를 코믹과 판타지 두 장르로 변환해 각각 짧은 시나리오(5줄 이내)로 표현하세요.,어려움,"['SF', '드라마', '액션']",158
48,시나리오,장르 변환,주제 '편의점 앞 테이블에서 이어진 늦은 밤 대화'를 액션과 코믹 스타일로 각각 변환해 5줄 이내로 표현하세요.,어려움,"['로맨스', '드라마', '코믹']",120
49,시나리오,장르 변환,주제 '동네 서점에서 동시에 같은 소설을 집은 두 사람'를 공포과 느와르 스타일로 각각 다른 분위기의 4줄 시나리오로 만드세요.,중간,"['감성', '스릴러', '느와르']",137
50,시나리오,장르 변환,주제 '학교 체육대회에서의 작은 오해'를 SF과 스릴러 스타일로 각각 변환해 5줄 이내로 표현하세요.,중간,"['공포', '느와르', 'SF']",132
51,시나리오,장르 변환,주제 '버스 정류장에서 이어진 짧은 인연'를 로맨스과 판타지 두 장르로 변환해 각각 짧은 시나리오(5줄 이내)로 표현하세요.,중간,"['드라마', '액션', '코믹']",99
52,시나리오,장르 변환,주제 '아침 지하철 출근길의 작은 소동' 상황을 드라마과 로맨스 톤으로 변환해 5줄 이내로 작성하세요.,어려움,"['공포', '느와르', '로맨스']",147
53,시나리오,장르 변환,주제 '지하철 플랫폼에서 이어진 짧은 인사'를 액션과 공포 스타일로 각각 변환해 5줄 이내로 표현하세요.,어려움,"['로맨스', 'SF', '감성']",160
54,시나리오,장르 변환,아파트 복도에서 마주친 이웃과의 대화'를 드라마과 로맨스 장르로 나눠 각각 4줄 시나리오로 구성하세요.,쉬움,"['판타지', '코믹', '액션']",84
55,시나리오,장르 변환,주제 '지하철에서 지갑을 잃어버린 상황' 상황을 액션과 느와르 톤으로 변환해 5줄 이내로 작성하세요.,어려움,"['로맨스', '액션', '감성']",82
56,시나리오,장르 변환,주제 '공원 산책로에서 강아지 산책 중 만난 사람들' 상황을 공포과 로맨스 톤으로 변환해 5줄 이내로 작성하세요.,쉬움,"['판타지', '코믹', '공포']",135
57,시나리오,장르 변환,주제 '지하철 플랫폼에서 이어진 짧은 인사'를 감성과 액션 스타일로 각각 변환해 5줄 이내로 표현하세요.,중간,"['감성', '액션', '공포']",160
58,시나리오,장르 변환,주제 '도서관에서 동시에 같은 책을 집어든 두 사람'를 드라마과 스릴러 버전으로 나눠서 4줄 시나리오 두 개로 만드세요.,쉬움,"['코믹', '로맨스', '액션']",154
59,시나리오,장르 변환,주제 '지하철에서 지갑을 잃어버린 상황'를 느와르과 스릴러 두 가지 버전으로 변환해 5줄씩 작성하세요.,중간,"['코믹', '공포', 'SF']",113
60,시나리오,장르 변환,주제 '지하도에서 흘러나온 음악에 발걸음을 멈춘 사람들'를 공포과 드라마 스타일로 각각 다른 분위기의 4줄 시나리오로 만드세요.,어려움,"['로맨스', '코믹', '액션']",122
61,시나리오,장르 변환,주제 '도서관 계단에서 서로를 격려하는 학생들'를 판타지과 코믹 두 장르로 변환해 각각 짧은 시나리오(5줄 이내)로 표현하세요.,어려움,"['로맨스', '판타지', '드라마']",85
62,시나리오,장르 변환,주제 '동네 빵집에서 같은 케이크를 고른 순간'를 액션과 판타지 스타일로 각각 다른 분위기의 4줄 시나리오로 만드세요.,중간,"['판타지', '감성', '스릴러']",141
63,시나리오,장르 변환,지하철 플랫폼에서 이어진 짧은 인사'를 감성과 스릴러 장르로 나눠 각각 4줄 시나리오로 구성하세요.,중간,"['판타지', '감성', '드라마']",97
64,시나리오,장르 변환,주제 '지하철 계단에서 누군가를 붙잡아 준 순간'를 스릴러과 드라마 두 가지 장르로 각각 5줄 이내 시나리오로 변환하세요.,쉬움,"['드라마', '코믹', '스릴러']",152
65,시나리오,장르 변환,주제 '학교 운동장에서 만난 새로운 친구'를 코믹과 로맨스 스타일로 각각 변환해 5줄 이내로 표현하세요.,어려움,"['판타지', '스릴러', '코믹']",95
66,시나리오,장르 변환,주제 '아침 지하철 출근길의 작은 소동'를 드라마과 SF 두 가지 장르로 각각 5줄 이내 시나리오로 변환하세요.,쉬움,"['판타지', '코믹', '감성']",95
67,시나리오,장르 변환,주제 '학교 복도에서 흘린 필통을 주워주는 장면'를 스릴러과 SF 버전으로 나눠서 4줄 시나리오 두 개로 만드세요.,중간,"['느와르', '액션', '코믹']",155
68,시나리오,장르 변환,주제 '동네 서점에서 동시에 같은 소설을 집은 두 사람'를 코믹과 스릴러 두 가지 버전으로 변환해 5줄씩 작성하세요.,어려움,"['코믹', '드라마', '로맨스']",123
69,시나리오,장르 변환,버스 정류장에서 이어진 짧은 인연' 상황을 코믹와 판타지 톤으로 각각 4줄 이내 시나리오로 작성하세요.,쉬움,"['공포', '판타지', '스릴러']",116
70,시나리오,장르 변환,주제 '아침 지하철 출근길의 작은 소동'를 감성과 느와르 버전으로 나눠서 4줄 시나리오 두 개로 만드세요.,중간,"['스릴러', '드라마', '느와르']",141
71,시나리오,장르 변환,주제 '회사 회의실 앞에서 기다리며 나눈 대화' 상황을 코믹과 SF 톤으로 변환해 5줄 이내로 작성하세요.,쉬움,"['공포', '코믹', '감성']",87
72,시나리오,장르 변환,회사 탕비실에서 커피를 쏟아버린 동료'를 스릴러과 공포 장르로 나눠 각각 4줄 시나리오로 구성하세요.,쉬움,"['공포', '로맨스', '감성']",152
73,시나리오,장르 변환,주제 '동네 꽃집에서 같은 꽃을 고른 두 사람'를 액션과 판타지 두 장르로 변환해 각각 짧은 시나리오(5줄 이내)로 표현하세요.,중간,"['코믹', '감성', '액션']",150
74,시나리오,장르 변환,주제 '회사 회의실 앞에서 기다리며 나눈 대화'를 액션과 SF 두 장르로 변환해 각각 짧은 시나리오(5줄 이내)로 표현하세요.,어려움,"['감성', '느와르', '코믹']",122
75,시나리오,장르 변환,주제 '비 오는 날 우산을 함께 쓴 두 사람'를 판타지과 느와르 버전으로 나눠서 4줄 시나리오 두 개로 만드세요.,중간,"['드라마', '감성', 'SF']",141
