id,category,type,prompt,difficulty,keywords,length,created_at
901,시,시 구조 변형 연습,'시험 전날 밤'이라는 구절을 바탕으로 4가지 시 형태로 확장하세요.,어려움,"['책가방', '공책', '노트북불빛']",88,2025-07-23 15:52:29
902,시,시 구조 변형 연습,'연습장 가득 문제'이라는 구절을 바탕으로 4가지 시 형태로 확장하세요.,쉬움,"['책무게', '펜촉', '샤프심통']",59,2025-07-23 15:53:29
903,시,시 구조 변형 연습,"'마지막 모의고사'을 이용해 자유시, 3행시, 하이쿠, 산문시로 재구성하세요.",중간,"['시험분위기', '백지시험지', '연습노트']",148,2025-07-23 15:54:29
904,시,시 구조 변형 연습,'입실 전 복도'을 각기 다른 시 형식으로 다시 써보세요.,중간,"['스터디플래너', '도서관', '칠판']",95,2025-07-23 15:55:29
905,시,시 구조 변형 연습,'입실 전 복도'이라는 구절을 바탕으로 4가지 시 형태로 확장하세요.,중간,"['시험범위', '모의시험장', '커피잔']",73,2025-07-23 15:56:29
906,시,시 구조 변형 연습,"'새벽 공부방'을 주제로 자유시, 3행시, 하이쿠, 산문시로 바꾸어 쓰세요.",쉬움,"['독서대', '서랍', '노트북불빛']",71,2025-07-23 15:57:29
907,시,시 구조 변형 연습,"문장 '책상 위 커피'을 자유시, 3행시, 하이쿠, 산문시로 변형해보세요.",쉬움,"['도서관의자', '독서대', '도서관']",134,2025-07-23 15:58:29
908,시,시 구조 변형 연습,'책상 위 커피'을 각기 다른 시 형식으로 다시 써보세요.,쉬움,"['스탠드빛', '책상다리', '가방끈']",118,2025-07-23 15:59:29
909,시,시 구조 변형 연습,'도서관 열람실'이라는 구절을 바탕으로 4가지 시 형태로 확장하세요.,중간,"['교탁위책', '노란 조명', '책상냄새']",73,2025-07-23 16:00:29
910,시,시 구조 변형 연습,"문장 '붉은 채점 펜'을 자유시, 3행시, 하이쿠, 산문시로 변형해보세요.",쉬움,"['교실책걸상', '책상모서리', '책걸상']",82,2025-07-23 16:01:29
911,시,시 구조 변형 연습,"'입실 전 복도'을 이용해 자유시, 3행시, 하이쿠, 산문시로 재구성하세요.",어려움,"['교실책걸상', '책상다리', '책걸상']",88,2025-07-23 16:02:29
912,시,시 구조 변형 연습,'흐릿한 형광등'이라는 구절을 바탕으로 4가지 시 형태로 확장하세요.,쉬움,"['복도', '강의자료', '공책']",86,2025-07-23 16:03:29
913,시,시 구조 변형 연습,'도서관 열람실'을 변주하여 서로 다른 네 종류의 시로 작성하세요.,중간,"['가방속', '책무게', '시계초침']",100,2025-07-23 16:04:29
914,시,시 구조 변형 연습,'책상 위 시계'을 각기 다른 시 형식으로 다시 써보세요.,어려움,"['시험장', '노란 조명', '연습문제']",54,2025-07-23 16:05:29
915,시,시 구조 변형 연습,'성적표 봉투' 문장을 바탕으로 4가지 스타일의 시를 완성하세요.,중간,"['스터디노트', '형광펜자국', '교과서']",67,2025-07-23 16:06:29
916,시,시 구조 변형 연습,'교문 앞 긴장' 문장을 바탕으로 4가지 스타일의 시를 완성하세요.,중간,"['책상다리', '모의고사', '백지시험지']",68,2025-07-23 16:07:29
917,시,시 구조 변형 연습,"'시험 전날 밤'을 이용해 자유시, 3행시, 하이쿠, 산문시로 재구성하세요.",중간,"['지우개가루', '샤프심통', '낙서']",86,2025-07-23 16:08:29
918,시,시 구조 변형 연습,"'책상 위 커피'을 주제로 자유시, 3행시, 하이쿠, 산문시로 바꾸어 쓰세요.",어려움,"['독서실', '강의실', '책갈피']",132,2025-07-23 16:09:29
919,시,시 구조 변형 연습,'붉은 채점 펜'을 각기 다른 시 형식으로 다시 써보세요.,어려움,"['종이냄새', '책상', '도서관시계']",56,2025-07-23 16:10:29
920,시,시 구조 변형 연습,'책상 위 시계'을 시작점으로 네 가지 시 형식으로 표현하세요.,어려움,"['포스트잇', '시험번호표', '책장']",52,2025-07-23 16:11:29
921,시,시 구조 변형 연습,"'책상 위 시계'을 주제로 자유시, 3행시, 하이쿠, 산문시로 바꾸어 쓰세요.",중간,"['문제집', '적막', '시험분위기']",70,2025-07-23 16:12:29
922,시,시 구조 변형 연습,"'교실 창밖 풍경'을 주제로 자유시, 3행시, 하이쿠, 산문시로 바꾸어 쓰세요.",중간,"['영어단어장', '족보', '교실바람']",137,2025-07-23 16:13:29
923,시,시 구조 변형 연습,'연습장 가득 문제'을 바탕으로 서로 다른 구조의 시 네 편을 만드세요.,중간,"['시험번호표', '커피잔', '형광펜자국']",118,2025-07-23 16:14:29
924,시,시 구조 변형 연습,'졸린 새벽'을 각기 다른 시 형식으로 다시 써보세요.,쉬움,"['노트북', '지우개가루', '교탁위책']",131,2025-07-23 16:15:29
925,시,시 구조 변형 연습,'답안지 한 장'을 각기 다른 시 형식으로 다시 써보세요.,쉬움,"['시험범위', '교과노트', '복도']",87,2025-07-23 16:16:29
926,시,시 구조 변형 연습,"'연습장 가득 문제'을 이용해 자유시, 3행시, 하이쿠, 산문시로 재구성하세요.",쉬움,"['이면지', '책걸상', '지우개가루']",138,2025-07-23 16:17:29
927,시,시 구조 변형 연습,'합격자 발표'을 각기 다른 시 형식으로 다시 써보세요.,어려움,"['커피잔', '백지', '이면지']",66,2025-07-23 16:18:29
928,시,시 구조 변형 연습,'빈 강의실'을 각기 다른 시 형식으로 다시 써보세요.,중간,"['모의점수표', '교과서', '책상모서리']",146,2025-07-23 16:19:29
929,시,시 구조 변형 연습,'두꺼운 교과서' 문장을 바탕으로 4가지 스타일의 시를 완성하세요.,중간,"['성적표', '백지시험지', '연습노트']",99,2025-07-23 16:20:29
930,시,시 구조 변형 연습,'입실 전 복도'을 바탕으로 서로 다른 구조의 시 네 편을 만드세요.,중간,"['모의점수표', '지우개', '교실책걸상']",58,2025-07-23 16:21:29
931,시,시 구조 변형 연습,"'도서관 열람실'을 이용해 자유시, 3행시, 하이쿠, 산문시로 재구성하세요.",어려움,"['채점', '형광펜', '성적표']",119,2025-07-23 16:22:29
932,시,시 구조 변형 연습,'도서관 열람실'을 각기 다른 시 형식으로 다시 써보세요.,중간,"['연습문제', '성적표', '점수표']",55,2025-07-23 16:23:29
933,시,시 구조 변형 연습,"'졸린 새벽'을 주제로 자유시, 3행시, 하이쿠, 산문시로 바꾸어 쓰세요.",쉬움,"['책갈피', '시험감독관', '책상다리']",123,2025-07-23 16:24:29
