id,category,type,prompt,difficulty,keywords,length
1,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '아침형 인간과 올빼미형 인간 중 어느 쪽이 더 효율적인가?',쉬움,['일상'],800
2,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '문화적 다양성이 창의성에 미치는 영향',쉬움,['문화'],800
3,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '창업과 취업 중 어느 길이 더 나은 선택인가?',어려움,['직업'],700
4,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '외국 영화 리메이크의 장단점',쉬움,['문화'],500
5,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '세계화가 전통 문화를 위협하는가?',어려움,['문화'],700
6,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '전쟁이 기술 발전에 미친 영향',어려움,['역사'],500
7,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '연인 관계에서의 신뢰의 중요성',중간,['인간관계'],500
8,에세이,주제 에세이,"아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '미니멀리즘과 맥시멀리즘, 어느 것이 삶을 풍요롭게 하는가?'",중간,['일상'],700
9,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '고대 문명의 발전이 현대 과학에 미친 영향',쉬움,['역사'],600
10,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '패션이 사회적 지위에 미치는 영향',중간,['문화'],500
11,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '세계 대공황이 현대 경제 정책에 준 교훈',어려움,['역사'],700
12,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '독서와 글쓰기가 사고력에 미치는 영향',중간,['자기계발'],500
13,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '도시와 시골의 하루 일과 비교',어려움,['일상'],600
14,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '한류가 세계 문화에 미친 영향',중간,['문화'],500
15,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '연락의 빈도가 관계의 질을 결정하는가?',어려움,['인간관계'],500
16,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '리더십과 팔로워십 중 어느 것이 더 중요한가?',중간,['직업'],600
17,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '전통 예술을 현대적으로 계승하는 방법',어려움,['문화'],800
18,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '독서와 글쓰기가 사고력에 미치는 영향',중간,['자기계발'],500
19,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '외국 영화 리메이크의 장단점',중간,['문화'],500
20,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '과거 독재 정권이 현재 사회에 끼친 영향',어려움,['역사'],500
21,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '창업과 취업 중 어느 길이 더 나은 선택인가?',쉬움,['직업'],800
22,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '연인 관계에서의 신뢰의 중요성',쉬움,['인간관계'],500
23,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '패션이 사회적 지위에 미치는 영향',중간,['문화'],600
24,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '고대 문명의 발전이 현대 과학에 미친 영향',중간,['역사'],600
25,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '문화적 다양성이 창의성에 미치는 영향',어려움,['문화'],600
26,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '외국 영화 리메이크의 장단점',중간,['문화'],600
27,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '연락의 빈도가 관계의 질을 결정하는가?',중간,['인간관계'],800
28,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '사내 복지가 직원 만족도에 미치는 영향',어려움,['직업'],500
29,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '실패 경험이 성장의 밑거름이 되는가?',쉬움,['자기계발'],600
30,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '고대 문명의 발전이 현대 과학에 미친 영향',중간,['역사'],500
31,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '직장 동료와의 관계가 업무 성과에 미치는 영향',중간,['인간관계'],600
32,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '직장에서의 멘토의 중요성',중간,['직업'],700
33,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '제국주의의 유산이 현대 정치에 미치는 영향',어려움,['역사'],500
34,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '세계화가 전통 문화를 위협하는가?',쉬움,['문화'],500
35,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '취미 활동이 정신 건강에 미치는 영향',쉬움,['일상'],600
36,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '혼자 사는 삶과 가족과 사는 삶의 차이',중간,['일상'],500
37,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '목표 설정이 인생의 방향을 결정하는가?',중간,['자기계발'],500
38,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '리더십과 팔로워십 중 어느 것이 더 중요한가?',중간,['직업'],600
39,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '친구 수보다 질이 중요한 이유',중간,['인간관계'],700
40,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '이웃과의 관계가 현대 사회에서 필요한가?',어려움,['인간관계'],700
41,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '시간 관리가 성공에 미치는 영향',쉬움,['자기계발'],600
42,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: 'SNS가 인간관계를 단절시키는가?',쉬움,['인간관계'],700
43,에세이,주제 에세이,"아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '평생직장이 사라진 시대, 우리는 어떻게 살아야 하는가?'",중간,['직업'],600
44,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '시간 관리가 성공에 미치는 영향',어려움,['자기계발'],700
45,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '목표 설정이 인생의 방향을 결정하는가?',중간,['자기계발'],800
46,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '연락의 빈도가 관계의 질을 결정하는가?',어려움,['인간관계'],700
47,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '긍정적인 사고방식이 삶을 바꾸는가?',쉬움,['자기계발'],500
48,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '이웃과의 관계가 현대 사회에서 필요한가?',쉬움,['인간관계'],600
49,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '지역 축제가 지역 경제에 미치는 효과',중간,['문화'],500
50,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '디지털 시대의 독서 문화 변화',중간,['문화'],600
51,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '아침형 인간과 올빼미형 인간 중 어느 쪽이 더 효율적인가?',중간,['일상'],600
52,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '역사적 유물의 반환 문제',중간,['역사'],700
53,에세이,주제 에세이,아래 주제를 바탕으로 600자 이상의 에세이를 작성하시오: '역사를 해석하는 관점의 다양성 필요성',중간,['역사'],700
