id,category,type,prompt,difficulty,keywords,length
1,에세이,요약/확장,다음 주제를 바탕으로 400자 이상으로 확장해 글을 작성하시오: '문화 격차 해소를 위한 정책',어려움,"['사회', '확장']",500
2,에세이,요약/확장,다음 주제와 관련된 글을 찾아 읽고 150자 이내로 요약하시오: '인공지능의 사회적 책임',쉬움,"['과학/기술', '요약']",150
3,에세이,요약/확장,다음 주제를 바탕으로 400자 이상으로 확장해 글을 작성하시오: '재생 에너지의 확대',쉬움,"['환경', '확장']",400
4,에세이,요약/확장,다음 주제와 관련된 글을 찾아 읽고 150자 이내로 요약하시오: '탄소 중립 실현 방안',쉬움,"['환경', '요약']",150
5,에세이,요약/확장,다음 주제와 관련된 글을 찾아 읽고 150자 이내로 요약하시오: '코딩 교육의 의무화',중간,"['교육/미래', '요약']",150
6,에세이,요약/확장,다음 주제를 바탕으로 400자 이상으로 확장해 글을 작성하시오: '역사 왜곡 문제',쉬움,"['문화/역사', '확장']",400
7,에세이,요약/확장,다음 주제를 바탕으로 400자 이상으로 확장해 글을 작성하시오: '고령화 사회의 복지 제도',어려움,"['사회', '확장']",500
8,에세이,요약/확장,다음 주제를 바탕으로 400자 이상으로 확장해 글을 작성하시오: '전통문화 보존의 중요성',쉬움,"['문화/역사', '확장']",400
9,에세이,요약/확장,다음 주제와 관련된 글을 찾아 읽고 150자 이내로 요약하시오: '기후 난민 문제',쉬움,"['환경', '요약']",150
10,에세이,요약/확장,다음 주제와 관련된 글을 찾아 읽고 150자 이내로 요약하시오: '우연히 발견한 오래된 편지',중간,"['일상/창작', '요약']",150
11,에세이,요약/확장,다음 주제와 관련된 글을 찾아 읽고 150자 이내로 요약하시오: '대중문화의 상업화 논란',쉬움,"['문화/역사', '요약']",150
12,에세이,요약/확장,다음 주제와 관련된 글을 찾아 읽고 150자 이내로 요약하시오: '메타버스의 사회적 영향',중간,"['과학/기술', '요약']",150
13,에세이,요약/확장,다음 주제와 관련된 글을 찾아 읽고 150자 이내로 요약하시오: '학교 내 환경 교육 필수화',쉬움,"['교육/미래', '요약']",150
14,에세이,요약/확장,다음 주제를 바탕으로 400자 이상으로 확장해 글을 작성하시오: '플라스틱 쓰레기 문제',어려움,"['환경', '확장']",600
15,에세이,요약/확장,다음 주제를 바탕으로 400자 이상으로 확장해 글을 작성하시오: '도시 녹지 공간의 필요성',쉬움,"['환경', '확장']",500
16,에세이,요약/확장,다음 주제와 관련된 글을 찾아 읽고 150자 이내로 요약하시오: '지하철 안에서 만난 기묘한 순간',쉬움,"['일상/창작', '요약']",150
17,에세이,요약/확장,다음 주제와 관련된 글을 찾아 읽고 150자 이내로 요약하시오: '코딩 교육의 의무화',어려움,"['교육/미래', '요약']",150
18,에세이,요약/확장,다음 주제를 바탕으로 400자 이상으로 확장해 글을 작성하시오: '도시의 밤을 걸으며 깨달은 것',어려움,"['일상/창작', '확장']",400
19,에세이,요약/확장,다음 주제를 바탕으로 400자 이상으로 확장해 글을 작성하시오: '전통문화 보존의 중요성',어려움,"['문화/역사', '확장']",500
