id,category,type,prompt,difficulty,keywords,length
1,시나리오,대사 작성,상황 '고대 사원 앞에서 의식을 준비하는 무리'에서 '운전자'과(와) '기자'가 주고받는 대사를 코믹 톤으로 4줄 이내로 작성하세요.,어려움,"['네온 불빛', '택시 호출 앱', '마법서']",91
2,시나리오,대사 작성,상황 '지하 주차장에서 충돌 후 화해하는 운전자들'에서 '학자'과(와) '운전자'가 주고받는 대사를 잔잔한 톤으로 4줄 이내로 작성하세요.,쉬움,"['플라스틱 컵', '조명 스위치', '장바구니']",68
3,시나리오,대사 작성,상황 '시장 골목에서 위험한 정보를 주고받는 상인과 탐정'에서 '환자'과(와) '모험가'가 주고받는 대사를 긴박한 톤으로 4줄 이내로 작성하세요.,쉬움,"['지하철 손잡이', '빨간 리본', '백화점 전광판']",110
4,시나리오,대사 작성,상황 '카지노 비밀 방에서 협상하는 범죄 조직원들'에서 '기자'과(와) '사업가'가 주고받는 대사를 긴박한 톤으로 4줄 이내로 작성하세요.,어려움,"['자동차 블랙박스', '포장마차 꼬치', '백화점 전광판']",85
5,시나리오,대사 작성,상황 '카지노 비밀 방에서 협상하는 범죄 조직원들'에서 '소년'과(와) '배우'가 주고받는 대사를 차가운 톤으로 4줄 이내로 작성하세요.,쉬움,"['칠판', '조명 스위치', 'USB 메모리']",107
6,시나리오,대사 작성,상황 '마법사의 도서관에서 비밀 서적을 찾는 모험가'에서 '기자'과(와) '모험가'가 주고받는 대사를 가벼운 톤으로 4줄 이내로 작성하세요.,어려움,"['스마트워치', '동전지갑', '분필']",131
7,시나리오,대사 작성,상황 '지하철 플랫폼에서 시간을 다투는 형사와 목격자'에서 '기자'과(와) '사업가'가 주고받는 대사를 드라마틱 톤으로 4줄 이내로 작성하세요.,어려움,"['열쇠', '성배', '사진첩']",143
8,시나리오,대사 작성,상황 '대학 강의실에서 논문을 두고 언쟁하는 학생과 교수'에서 '모험가'과(와) '소녀'가 주고받는 대사를 코믹 톤으로 4줄 이내로 작성하세요.,어려움,"['스마트폰', '사다리', '조명 타이머']",50
9,시나리오,대사 작성,상황 '폭설이 내리는 산속 오두막에서 대화하는 탐험가들'에서 '남자'과(와) '의사'가 주고받는 대사를 긴박한 톤으로 4줄 이내로 작성하세요.,어려움,"['페트병', '조명등', '라디오 잡음']",105
10,시나리오,대사 작성,상황 '밤하늘이 보이는 스카이브리지에서 협상하는 기업 간부들'에서 '학자'과(와) '댄서'가 주고받는 대사를 가벼운 톤으로 4줄 이내로 작성하세요.,어려움,"['분필', '스마트워치', '빗방울']",72
