id,category,type,prompt,difficulty,keywords,length
1,시나리오,즉흥 시나리오,주제 '버스 카드가 없어서 생긴 짧은 소동'를 긴박한 톤으로 4줄 이내의 즉흥 시나리오로 작성하세요.,중간,"['리본', '머리끈', '버스 안내방송']",55
2,시나리오,즉흥 시나리오,주제 '밤 산책 중 길 잃은 강아지를 발견한 순간'를 현실적인 대사 중심의 4줄 즉흥 시나리오로 작성하세요.,중간,"['작은 쿠션', '머그컵', '신문']",51
3,시나리오,즉흥 시나리오,백화점 에스컬레이터 위의 짧은 인연' 상황을 서스펜스 톤으로 3줄 이내로 즉흥 스케치 형태로 구성하세요.,중간,"['필통', '커피잔', '책갈피']",110
4,시나리오,즉흥 시나리오,주제 '지하도에서 흘러나온 음악에 발걸음을 멈춘 사람들'를 따뜻한 분위기로 짧은 3줄 시나리오로 구성하세요.,쉬움,"['휴대폰', '포스트잇', '버스 시간표']",117
5,시나리오,즉흥 시나리오,주제 '카페에서 지갑을 두고 간 손님과 점원의 만남'를 드라마틱하게 5줄 이내의 즉흥 시나리오로 표현하세요.,중간,"['포장마차 꼬치', '노트', '동전통']",94
6,시나리오,즉흥 시나리오,버스 카드가 없어서 생긴 짧은 소동' 상황을 서스펜스 톤으로 3줄 이내로 즉흥 스케치 형태로 구성하세요.,어려움,"['포장마차 꼬치', '노래 가사집', '수첩']",69
7,시나리오,즉흥 시나리오,편의점에서 마지막 삼각김밥을 두고 벌어진 논쟁'를 판타지풍으로 5줄 이내의 즉흥 시나리오로 작성하세요.,어려움,"['검', '지도', '백팩']",115
8,시나리오,즉흥 시나리오,주제 '버스 정류장에서 우산을 빌려주는 순간'를 현실적인 대사 중심의 4줄 즉흥 시나리오로 작성하세요.,쉬움,"['손전등', '빵봉지', '왕관']",50
9,시나리오,즉흥 시나리오,주제 '폐허 건물 안에서 들려오는 정체불명의 소리'를 긴박한 톤으로 4줄 이내의 즉흥 시나리오로 작성하세요.,중간,"['연필', '안경', '메모지']",93
10,시나리오,즉흥 시나리오,주제 '지하철 플랫폼에서 이어진 짧은 인연'를 따뜻한 분위기로 짧은 3줄 시나리오로 구성하세요.,어려움,"['필기구', '동전 케이스', '백팩']",94
11,시나리오,즉흥 시나리오,주제 '지하도에서 흘러나온 음악에 발걸음을 멈춘 사람들'를 현실적인 대사 중심의 4줄 즉흥 시나리오로 작성하세요.,쉬움,"['쇼핑백', '플라스틱 컵', '플라스틱 병']",53
12,시나리오,즉흥 시나리오,비 오는 날 우산 하나를 나눠 쓰는 두 사람' 상황을 잔잔하게 5줄 이내로 묘사된 즉흥 시나리오로 만드세요.,쉬움,"['버스카드', '노트북', '음악 플레이어']",63
13,시나리오,즉흥 시나리오,주제 '편의점에서 마지막 삼각김밥을 두고 벌어진 논쟁'를 드라마틱하게 5줄 이내의 즉흥 시나리오로 표현하세요.,쉬움,"['신문', '메모지', '간단한 음료']",65
